Searchterm,Impressions,Clicks,Cost,Conversions,ConversionValue,CTR,CPC,CostPerConversion,Campaigns,AdGroups,MatchedKeywords,MatchTypes,QueryTargetingStatuses,NumRows
luteal phase symptoms,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
maca root benefits for women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
mae healy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
managing pcos,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
marcella hill,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
marie claire haver,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause | naturopath for hormone imbalance | naturopath for hormones | naturopath for women's health,broad,None,4
maryon stewart,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
mayo clinic menopause clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for women's health,broad,None,1
mct oil menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,phrase (close variant),None,1
medicina natural para la tiroides,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
medicine for menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
menopausal care near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,perimenopause doctor near me,exact (close variant),None,1
menopausal hormone therapy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
menopause and acupuncture,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,phrase (close variant),None,1
menopause and hormone specialist near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,phrase (close variant),None,1
menopause and thyroid,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
menopause at 53,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
menopause belly fat how to get rid of,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
menopause care,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
menopause certified doctors near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,phrase (close variant),None,1
menopause certified specialist near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for women's health,broad,None,1
menopause clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's naturopath near me,broad,None,1
menopause clinic st paul mn,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones | women's hormone specialist near me,broad,None,2
menopause dietician near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
menopause doctor,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
menopause endocrinologist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
menopause feeling cold,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
menopause obgyn near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormones,broad,None,1
menopause practitioner,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's naturopath near me,broad,None,1
menopause racgp,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
menopause school,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
menopause society,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance | women's health naturopath,broad,None,2
menopause society directory,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
menopause specialist in my area,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,perimenopause doctor near me,exact (close variant),None,1
menopause specialist mn,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones | naturopath for hormone imbalance,broad,None,2
menopause specialists,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
menopause taylor,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
menopause treatment near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for menopause,broad,None,1
menopause weight loss,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,broad,None,1
metropartners,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause | women's naturopath near me,broad,None,2
midi vs winona,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
minnesota perinatal clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
minnesota women's care clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
minnesota women's clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
minnesota women's health,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath | women's hormone specialist near me,broad,None,2
minnesota womens care,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
minnesota's women's care,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,broad,None,1
mom nutritionist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
most accurate ovulation calculator,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
musculoskeletal syndrome of menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
my hormones are all over the place,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
my period cramps are so bad,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
my period is 4 days late,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
myoedema,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath,broad,None,1
nams,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's naturopath near me,broad,None,1
napro doctors near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormones,broad,None,1
napro physician,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for fertility,broad,None,1
napro technology doctors,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
naprotechnology doctors near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
natural desiccated thyroid,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath,broad,None,1
natural estrogen replacement therapy,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | natural help for menopause,broad | phrase (close variant),None,2
natural family planning pregnancy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
natural fertility doctor,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,exact (close variant),None,1
natural fertility doctor near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
natural health clinic near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
natural pcos treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for women's health,broad,None,1
natural perimenopause treatments that really work,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,exact (close variant),None,1
natural treatment for endometriosis,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
natural way to increase estrogen,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
natural ways to shrink fibroids,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
natural ways to treat postpartum anxiety,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
natural wellness,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
naturopathic endocrinologist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
naturopathic hormone doctor near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormones,exact (close variant),None,1
naturopathic pa,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
normal estrogen levels in women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,broad,None,1
normal fsh levels by age chart female,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
normal testosterone for women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
north memorial endocrinology maple grove,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
np thyroid,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath,broad,None,1
nutritional health and wellness,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
ob gyn burnsville,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for women's health,broad,None,1
obgyn,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me | functional medicine for hormones,broad,Excluded,2
obgyn best rated near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
obgyn care near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
obgyn eden prairie,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
obgyn edina,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me | women's naturopath near me,broad,None,2
obgyn holistic near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
obgyn near me,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | naturopath for fertility | naturopath for hormone imbalance | naturopath for women's health | women's naturopath near me,broad,None,5
obgyn perimenopause specialist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
obgyn screening,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
obgyn shakopee mn,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
obgyn west near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me | hormone doctor near me,broad,None,2
obgynpa,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
obgynwest,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
oestra,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
ogi mn,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
oova,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance | naturopath for hormones,broad,None,2
oova test,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
optimal hormone levels for women in menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
options for infertile couples,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
options for infertility,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
osteopath for pregnancy near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
oura ring ovulation,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
ovarian regeneration,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
ovulation calculator,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
ovum,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
paloma health thyroid,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath,broad,None,1
pap smear appointment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pap smear near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
pare menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
paul larson clinic edina,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormones,broad,None,1
pcod,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos and chin hair,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos and fatty liver disease,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos and infertility,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos and thyroid issues,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
pcos books,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
pcos diet,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
pcos doctor specialist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos health risks,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
pcos holistic management,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos hormone tests,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos in your 40s,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
pcos nursing,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for fertility,broad,None,1
pcos pcod,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
pcos quiz,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos self assessment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos specialist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos specialists,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pcos testing,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones | women's health naturopath,broad,None,2
pcos treatment near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | naturopath for women's health,broad | phrase (close variant),None,2
pellets for hormones,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
pelvic exam,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pelvic exam first time,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | women's health naturopath,broad,None,2
pelvic floor near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
pelvic floor physical therapy near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pelvic floor release for women,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me | women's hormone specialist near me,broad,None,2
pelvic floor specialist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's naturopath near me,broad,None,1
pelvic floor therapy for women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pelvic health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
pelvic pain specialist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine hormones,broad,None,1
peri menopause diet,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,phrase (close variant),None,1
perimenopausal,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
perimenopause achilles pain,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,broad,None,1
perimenopause age,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath | hormone doctor near me | natural help for menopause,broad,None,3
perimenopause and cortisol,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
perimenopause and hrt,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
perimenopause anxiety,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
perimenopause arm pain,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
perimenopause bleeding for 10 days,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
perimenopause brain changes,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine hormones,broad,None,1
perimenopause brain fog,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,broad,None,1
perimenopause care,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for women's health,broad,None,1
perimenopause chills at night,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,broad,None,1
perimenopause constant cramps,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
perimenopause cramps,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
perimenopause diet to lose weight,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
perimenopause forums,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
perimenopause gut health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
perimenopause histamine intolerance,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
perimenopause how long does it last,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,broad,None,1
perimenopause itching,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
perimenopause periods,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
perimenopause power,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
perimenopause quiz,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
perimenopause specialist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
perimenopause specialists near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance | naturopath for hormones,broad,None,2
perimenopause supplements,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
perimenopause support groups near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
perimenopause test,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
perimenopause treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
perimenopause when to see a doctor,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
perimenopausia,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
period specialist doctor near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for women's health,broad,None,1
periods early by 10 days,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
phases of menstrual cycle,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
physical examination of reproductive system,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
phytoestrogens,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pikus,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
pineal gland,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
pmdd,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | women's hormone specialist near me,broad,None,2
pmdd depression,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
pmdd hormones,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
pmdd naturopathic treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for PMS,phrase (close variant),None,1
pmdd solutions,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pmdd symptoms,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath | women's hormone specialist near me,broad,None,2
pmdd treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pmdd treatment options,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pmos,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pmos diagnostic criteria,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
pmos doctor,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath | functional medicine for hormones,broad,None,2
pmos doctors near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
pmos testing,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
polycystic ovarian syndrome,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormones,broad,None,1
polycystic ovarian syndrome treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
polycystic ovary,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
polycystic ovary syndrome,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for women's health | women's health naturopath,broad,None,2
porque no puedo quedar embarazada si no me cuido,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
